AirportName,CancelReason,NumCancel
"Kansas City, MO: Kansas City International",Weather,18
"Kearney, NE: Kearney Regional",Weather,2
"Ketchikan, AK: Ketchikan International",Weather,2
"Killeen, TX: Robert Gray AAF","National Air System",4
"Knoxville, TN: McGhee Tyson",Weather,6
"Kodiak, AK: Kodiak Airport",Weather,6
"Kona, HI: Ellison Onizuka Kona International at Keahole",Carrier,4
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,3
"Lake Charles, LA: Lake Charles Regional","National Air System",2
"Laramie, WY: Laramie Regional",Weather,3
"Laredo, TX: Laredo International","National Air System",3
"Las Vegas, NV: McCarran International",Carrier,46
"Latrobe, PA: Arnold Palmer Regional",Carrier,1
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional","National Air System",2
"Lewisburg, WV: Greenbrier Valley",Weather,2
"Lexington, KY: Blue Grass",Weather,6
"Liberal, KS: Liberal Mid-America Regional",Weather,1
"Lihue, HI: Lihue Airport",Carrier,4
"Lincoln, NE: Lincoln Airport",Weather,5
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field","National Air System",6
"Longview, TX: East Texas Regional","National Air System",3
"Los Angeles, CA: Los Angeles International",Carrier,84
"Louisville, KY: Louisville Muhammad Ali International",Weather,11
"Lubbock, TX: Lubbock Preston Smith International",Weather,8
"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",Carrier,1
"Madison, WI: Dane County Regional-Truax Field","National Air System",3
"Mammoth Lakes, CA: Mammoth Lakes Airport",Weather,2
"Manchester, NH: Manchester-Boston Regional",Carrier,4
"Manhattan/Ft. Riley, KS: Manhattan Regional",Weather,2
"Martha's Vineyard, MA: Martha's Vineyard Airport","National Air System",1
"Medford, OR: Rogue Valley International - Medford","National Air System",1
"Melbourne, FL: Melbourne International",Carrier,1
"Memphis, TN: Memphis International",Weather,13
"Meridian, MS: Key Field",Weather,1
"Miami, FL: Miami International",Carrier,10
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,14
"Milwaukee, WI: General Mitchell International",Weather,9
"Minneapolis, MN: Minneapolis-St Paul International",Weather,25
"Minot, ND: Minot International",Weather,9
"Mission/McAllen/Edinburg, TX: McAllen Miller International","National Air System",4
"Moab, UT: Canyonlands Field",Weather,1
"Mobile, AL: Mobile Downtown",Carrier,1
"Mobile, AL: Mobile Regional","National Air System",5
"Moline, IL: Quad City International",Carrier,1
"Monroe, LA: Monroe Regional",Weather,6
"Monterey, CA: Monterey Regional",Weather,4
"Montgomery, AL: Montgomery Regional",Weather,3
"Montrose/Delta, CO: Montrose Regional",Weather,5
"Mosinee, WI: Central Wisconsin",Weather,1
"Muskegon, MI: Muskegon County",Carrier,1
"Myrtle Beach, SC: Myrtle Beach International",Carrier,3
"Nantucket, MA: Nantucket Memorial",Carrier,3
"Nashville, TN: Nashville International",Weather,25
"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",Weather,1
"New Orleans, LA: Louis Armstrong New Orleans International",Carrier,37
"New York, NY: John F. Kennedy International","National Air System",74
"New York, NY: LaGuardia","National Air System",81
"Newark, NJ: Newark Liberty International","National Air System",46
"Newport News/Williamsburg, VA: Newport News/Williamsburg International",Carrier,1
"Norfolk, VA: Norfolk International",Carrier,11
"North Platte, NE: North Platte Regional Airport Lee Bird Field",Weather,2
"Oakland, CA: Metropolitan Oakland International",Carrier,51
"Ogdensburg, NY: Ogdensburg International",Carrier,2
"Oklahoma City, OK: Will Rogers World",Weather,14
"Omaha, NE: Eppley Airfield",Weather,11
"Ontario, CA: Ontario International",Carrier,7
"Orlando, FL: Orlando International",Carrier,24
"Palm Springs, CA: Palm Springs International",Carrier,2
"Panama City, FL: Northwest Florida Beaches International",Weather,5
"Pasco/Kennewick/Richland, WA: Tri Cities",Weather,4
"Pensacola, FL: Pensacola International",Weather,6
"Peoria, IL: General Downing - Peoria International",Carrier,2
"Petersburg, AK: Petersburg James A Johnson",Carrier,1
"Philadelphia, PA: Philadelphia International",Carrier,32
"Phoenix, AZ: Phoenix - Mesa Gateway",Weather,3
"Phoenix, AZ: Phoenix Sky Harbor International",Carrier,55
"Pierre, SD: Pierre Regional",Weather,2
"Pittsburgh, PA: Pittsburgh International",Carrier,9
"Plattsburgh, NY: Plattsburgh International","National Air System",1
"Ponce, PR: Mercedita","National Air System",1
"Portland, ME: Portland International Jetport","National Air System",9
